timestamp,faces CPU,faces mem,load CPU,load mem,iperf CPU,iperf mem,gke CPU,gke mem,k8s CPU,k8s mem,data-plane CPU,data-plane mem,control-plane CPU,control-plane mem,mesh CPU,mesh mem,non-mesh CPU,non-mesh mem,business CPU,business mem,overhead CPU,overhead mem,total CPU,total mem,load app CPU,load app mem,load mesh CPU,load mesh mem,wrk2 app CPU,wrk2 app mem,wrk2 mesh CPU,wrk2 mesh mem,iperf app CPU,iperf app mem,iperf mesh CPU,iperf mesh mem,iperf-client app CPU,iperf-client app mem,iperf-client mesh CPU,iperf-client mesh mem,faces-gui app CPU,faces-gui app mem,faces-gui mesh CPU,faces-gui mesh mem,face app CPU,face app mem,face mesh CPU,face mesh mem,smiley app CPU,smiley app mem,smiley mesh CPU,smiley mesh mem,smiley2 app CPU,smiley2 app mem,smiley2 mesh CPU,smiley2 mesh mem,smiley3 app CPU,smiley3 app mem,smiley3 mesh CPU,smiley3 mesh mem,color app CPU,color app mem,color mesh CPU,color mesh mem,color2 app CPU,color2 app mem,color2 mesh CPU,color2 mesh mem,color3 app CPU,color3 app mem,color3 mesh CPU,color3 mesh mem,linkerd-destination mesh CPU,linkerd-destination mesh mem,linkerd-identity mesh CPU,linkerd-identity mesh mem,linkerd-proxy-injector mesh CPU,linkerd-proxy-injector mesh mem,istiod mesh CPU,istiod mesh mem,istio-ingressgateway mesh CPU,istio-ingressgateway mesh mem,waypoint mesh CPU,waypoint mesh mem,ztunnel mesh CPU,ztunnel mesh mem
2025-03-27 23:46:20,94497,110751744,,,,,17711930,325128192,56372344,719515648,6505137,116281344,12744057,244850688,19249194,361132032,94497,110751744,19343691,471883776,74084274,1044643840,93427965,1516527616,,,,,,,,,,,,,,,,,2858,7983104,744697,11771904,88437,29106176,992013,25399296,0,24686592,962276,16752640,0,6545408,780175,12226560,0,6217728,731986,12292096,0,23769088,779782,13352960,2235,6418432,794492,12242944,967,6025216,719716,12242944,9541987,133615616,1505572,47603712,1696498,63631360,,,,,,,,
2025-03-27 23:46:30,94497,110751744,,,,,17711930,325128192,56372344,719515648,6505137,116281344,12744057,244850688,19249194,361132032,94497,110751744,19343691,471883776,74084274,1044643840,93427965,1516527616,,,,,,,,,,,,,,,,,2858,7983104,744697,11771904,88437,29106176,992013,25399296,0,24686592,962276,16752640,0,6545408,780175,12226560,0,6217728,731986,12292096,0,23769088,779782,13352960,2235,6418432,794492,12242944,967,6025216,719716,12242944,9541987,133615616,1505572,47603712,1696498,63631360,,,,,,,,
2025-03-27 23:46:41,94497,110751744,,,,,17711930,325128192,56372344,719515648,6505137,116281344,12744057,244850688,19249194,361132032,94497,110751744,19343691,471883776,74084274,1044643840,93427965,1516527616,,,,,,,,,,,,,,,,,2858,7983104,744697,11771904,88437,29106176,992013,25399296,0,24686592,962276,16752640,0,6545408,780175,12226560,0,6217728,731986,12292096,0,23769088,779782,13352960,2235,6418432,794492,12242944,967,6025216,719716,12242944,9541987,133615616,1505572,47603712,1696498,63631360,,,,,,,,
2025-03-27 23:46:51,305081086,113119232,35364019,21082112,,,21497562,330633216,115721251,710778880,217294752,141758464,23882088,250064896,241176840,391823360,340445105,134201344,581621945,526024704,137218813,1041412096,718840758,1567436800,,,,,35364019,21082112,73843189,28299264,,,,,,,,,1180,7983104,753736,11771904,277769476,31285248,85827416,23404544,7436156,24506368,39151455,15904768,5742,6545408,724607,12226560,5544,6217728,735841,12288000,19855862,24137728,14737032,13377536,3361,6418432,733371,12242944,3765,6025216,788105,12242944,14475550,133361664,2956173,47628288,6450365,69074944,,,,,,,,
2025-03-27 23:47:01,305081086,113119232,35364019,21082112,,,21497562,330633216,115721251,710778880,217294752,141758464,23882088,250064896,241176840,391823360,340445105,134201344,581621945,526024704,137218813,1041412096,718840758,1567436800,,,,,35364019,21082112,73843189,28299264,,,,,,,,,1180,7983104,753736,11771904,277769476,31285248,85827416,23404544,7436156,24506368,39151455,15904768,5742,6545408,724607,12226560,5544,6217728,735841,12288000,19855862,24137728,14737032,13377536,3361,6418432,733371,12242944,3765,6025216,788105,12242944,14475550,133361664,2956173,47628288,6450365,69074944,,,,,,,,
2025-03-27 23:47:11,305081086,113119232,35364019,21082112,,,21497562,330633216,115721251,710778880,217294752,141758464,23882088,250064896,241176840,391823360,340445105,134201344,581621945,526024704,137218813,1041412096,718840758,1567436800,,,,,35364019,21082112,73843189,28299264,,,,,,,,,1180,7983104,753736,11771904,277769476,31285248,85827416,23404544,7436156,24506368,39151455,15904768,5742,6545408,724607,12226560,5544,6217728,735841,12288000,19855862,24137728,14737032,13377536,3361,6418432,733371,12242944,3765,6025216,788105,12242944,14475550,133361664,2956173,47628288,6450365,69074944,,,,,,,,
2025-03-27 23:47:21,1259532409,112988160,31804168,21086208,,,24066521,304893952,338591086,714231808,593010831,145481728,13995857,249798656,607006688,395280384,1291336577,134074368,1898343265,529354752,362657607,1019125760,2261000872,1548480512,,,,,31804168,21086208,61661492,29425664,,,,,,,,,1417,7983104,719688,11771904,1075384091,31600640,326965925,25640960,104837189,25018368,129401094,16285696,0,6545408,710865,12226560,0,6217728,733284,12292096,79304846,23179264,71362956,13344768,2661,6418432,734060,12247040,2205,6025216,721467,12247040,10694071,133251072,1677432,47681536,1624354,68866048,,,,,,,,
2025-03-27 23:47:32,1259532409,112988160,31804168,21086208,,,24066521,304893952,338591086,714231808,593010831,145481728,13995857,249798656,607006688,395280384,1291336577,134074368,1898343265,529354752,362657607,1019125760,2261000872,1548480512,,,,,31804168,21086208,61661492,29425664,,,,,,,,,1417,7983104,719688,11771904,1075384091,31600640,326965925,25640960,104837189,25018368,129401094,16285696,0,6545408,710865,12226560,0,6217728,733284,12292096,79304846,23179264,71362956,13344768,2661,6418432,734060,12247040,2205,6025216,721467,12247040,10694071,133251072,1677432,47681536,1624354,68866048,,,,,,,,
2025-03-27 23:47:42,1259532409,112988160,31804168,21086208,,,24066521,304893952,338591086,714231808,593010831,145481728,13995857,249798656,607006688,395280384,1291336577,134074368,1898343265,529354752,362657607,1019125760,2261000872,1548480512,,,,,31804168,21086208,61661492,29425664,,,,,,,,,1417,7983104,719688,11771904,1075384091,31600640,326965925,25640960,104837189,25018368,129401094,16285696,0,6545408,710865,12226560,0,6217728,733284,12292096,79304846,23179264,71362956,13344768,2661,6418432,734060,12247040,2205,6025216,721467,12247040,10694071,133251072,1677432,47681536,1624354,68866048,,,,,,,,
2025-03-27 23:47:52,1265233376,116371456,32659352,21090304,,,16440788,307580928,332211031,713236480,591668345,149172224,12234985,251088896,603903330,400261120,1297892728,137461760,1901796058,537722880,348651819,1020817408,2250447877,1558540288,,,,,32659352,21090304,59775999,29130752,,,,,,,,,2826,7983104,774252,11776000,1077651326,34381824,326541437,27811840,105256238,25227264,129772824,17567744,5209,6545408,763463,12750848,5803,6217728,761870,12292096,82309400,23572480,71800631,13344768,1033,6418432,710675,12251136,1541,6025216,767194,12247040,9081275,134512640,1531058,47706112,1622652,68870144,,,,,,,,
